Reading node file /sshare4/proj/txnet/public/uploads/20171215/19a824869a6fd497e5c16d6ce01cfb31_1513278947/ticam1_ko_source_score
Mapping: Eif3e Eif2s1 -- 0.8
Mapping: Eif3e Eif2s3x -- 0.8
Mapping: Eif3e Eif2s3y -- 0.8
Mapping: Eif3e Eif2s2 -- 0.8
Mapping: Eif3b Eif2s1 -- 0.8
Mapping: Eif3b Eif2s3x -- 0.8
Mapping: Eif3b Eif2s3y -- 0.8
Mapping: Eif3b Eif2s2 -- 0.8
Mapping: Eif3g Eif2s1 -- 0.8
Mapping: Eif3g Eif2s3x -- 0.8
Mapping: Eif3g Eif2s3y -- 0.8
Mapping: Eif3g Eif2s2 -- 0.8
Mapping: Eif3i Eif2s1 -- 0.8
Mapping: Eif3i Eif2s3x -- 0.8
Mapping: Eif3i Eif2s3y -- 0.8
Mapping: Eif3i Eif2s2 -- 0.8
Mapping: Eif3d Eif2s1 -- 0.8
Mapping: Eif3d Eif2s3x -- 0.8
Mapping: Eif3d Eif2s3y -- 0.8
Mapping: Eif3d Eif2s2 -- 0.8
Mapping: Eif3c Eif2s1 -- 0.8
Mapping: Eif3c Eif2s3x -- 0.8
Mapping: Eif3c Eif2s3y -- 0.8
Mapping: Eif3c Eif2s2 -- 0.8
Mapping: Eif3f Eif2s1 -- 0.8
Mapping: Eif3f Eif2s3x -- 0.8
Mapping: Eif3f Eif2s3y -- 0.8
Mapping: Eif3f Eif2s2 -- 0.8
Mapping: Eif3h Eif2s1 -- 0.8
Mapping: Eif3h Eif2s3x -- 0.8
Mapping: Eif3h Eif2s3y -- 0.8
Mapping: Eif3h Eif2s2 -- 0.8
Mapping: Eif3j Eif2s1 -- 0.8
Mapping: Eif3j Eif2s3x -- 0.8
Mapping: Eif3j Eif2s3y -- 0.8
Mapping: Eif3j Eif2s2 -- 0.8
Mapping: Pabpc1 Paip1 -- 0.8
Mapping: Pabpc2 Paip1 -- 0.8
Mapping: Pabpc4 Paip1 -- 0.8
Mapping: Pabpc4l Paip1 -- 0.8
Mapping: Pabpc1l Paip1 -- 0.8
Mapping: Pabpc6 Paip1 -- 0.8
Mapping: Pabpc5 Paip1 -- 0.8
Mapping: Eif4g2 Eif4e -- 0.8
